Geography,Period,VariableName,VariableValue,Product,Campaign,Creative,Outlet
0,2020-01-06,causal_0,0.005872700177725742,Total,Total,Total,Total
0,2020-01-13,causal_0,0.015326917018360942,Total,Total,Total,Total
0,2020-01-20,causal_0,0.13594467459842105,Total,Total,Total,Total
0,2020-01-27,causal_0,0.006038710373533111,Total,Total,Total,Total
0,2020-02-03,causal_0,0.04712608573569154,Total,Total,Total,Total
0,2020-02-10,causal_0,0.0016072330496089545,Total,Total,Total,Total
0,2020-02-17,causal_0,0.07193034563174716,Total,Total,Total,Total
0,2020-02-24,causal_0,0.22151492495197228,Total,Total,Total,Total
0,2020-03-02,causal_0,0.7684288379399103,Total,Total,Total,Total
0,2020-03-09,causal_0,0.26964943013194076,Total,Total,Total,Total
0,2020-03-16,causal_0,0.002377601483071341,Total,Total,Total,Total
0,2020-03-23,causal_0,0.09220146621329273,Total,Total,Total,Total
0,2020-03-30,causal_0,0.018297347908074472,Total,Total,Total,Total
0,2020-04-06,causal_0,0.001571207239589647,Total,Total,Total,Total
0,2020-04-13,causal_0,0.014827687218854212,Total,Total,Total,Total
0,2020-04-20,causal_0,0.0154402339322654,Total,Total,Total,Total
0,2020-04-27,causal_0,0.015450591232209605,Total,Total,Total,Total
0,2020-05-04,causal_0,0.008691661783453992,Total,Total,Total,Total
0,2020-05-11,causal_0,0.012914410105724158,Total,Total,Total,Total
0,2020-05-18,causal_0,0.08652488304252953,Total,Total,Total,Total
0,2020-05-25,causal_0,0.008022593487332497,Total,Total,Total,Total
0,2020-06-01,causal_0,0.014404480044394272,Total,Total,Total,Total
0,2020-06-08,causal_0,0.013258255035326294,Total,Total,Total,Total
0,2020-06-15,causal_0,0.0068107995248882875,Total,Total,Total,Total
0,2020-06-22,causal_0,0.0059290208330412065,Total,Total,Total,Total
0,2020-06-29,causal_0,0.0104077793974824,Total,Total,Total,Total
0,2020-07-06,causal_0,0.004580244825471695,Total,Total,Total,Total
0,2020-07-13,causal_0,0.013101238583142195,Total,Total,Total,Total
0,2020-07-20,causal_0,0.02271132650645983,Total,Total,Total,Total
0,2020-07-27,causal_0,0.004433533329317131,Total,Total,Total,Total
